Date,Entry time,Price,Target,SL,TSL,CE/PE,Entry Premium,Comp Strike,Comp Price,Exit time,Exit price,Captured,Total,Entry reason,Exit Reason
2026-07-28,11:00,24024.45,182.0,136.65,172.1,CE,169.1,N/A,125.1,11:10,169.1,0.0,0.0,BOTTOM dual-crossover,TRAILING_STOP
2026-07-28,11:45,24030.8,174.45,126.45,151.9,CE,148.9,N/A,141.15,11:50,141.15,-7.75,-7.75,TOP dual-crossover,COMPETITOR_HIT
2026-07-28,11:50,24013.75,153.05,108.25,128.1,PE,125.1,N/A,169.1,11:55,169.1,44.0,36.25,BOTTOM dual-crossover,COMPETITOR_HIT
2026-07-28,12:00,24008.8,153.05,108.25,128.1,PE,125.1,N/A,169.1,12:05,125.1,0.0,36.25,BOTTOM dual-crossover,TRAILING_STOP
2026-07-28,12:05,24021.45,166.7,112.0,144.15,PE,141.15,N/A,148.9,12:15,148.9,7.75,44.00,TOP dual-crossover,COMPETITOR_HIT
2026-07-28,12:25,24023.5,174.45,126.45,151.9,CE,148.9,N/A,141.15,12:30,141.15,-7.75,36.25,TOP dual-crossover,COMPETITOR_HIT
2026-07-28,12:55,24004.05,153.05,108.25,128.1,PE,125.1,N/A,169.1,13:00,169.1,44.0,80.25,BOTTOM dual-crossover,COMPETITOR_HIT
2026-07-28,13:15,23978.55,191.15,141.15,169.7,PE,166.7,N/A,126.45,13:20,166.7,0.0,80.25,TOP dual-crossover,TRAILING_STOP
2026-07-28,15:00,23962.9,191.15,141.15,169.7,PE,166.7,N/A,126.45,15:10,166.7,0.0,80.25,TOP dual-crossover,TRAILING_STOP
2026-07-28,15:20,23991.75,182.0,136.65,172.1,CE,169.1,N/A,125.1,15:25,-,0,80.25,BOTTOM dual-crossover,SESSION_END
2026-07-29,09:55,24187.65,141.0,92.5,119.0,PE,116.0,N/A,165.8,10:00,165.8,49.8,130.05,BOTTOM dual-crossover,COMPETITOR_HIT
2026-07-29,11:05,24238.65,179.7,128.0,155.05,CE,152.05,N/A,117.65,11:45,117.65,-34.40,95.65,TOP dual-crossover,COMPETITOR_HIT
2026-07-29,12:05,24244.7,179.7,128.0,155.05,CE,152.05,N/A,117.65,12:10,117.65,-34.40,61.25,TOP dual-crossover,COMPETITOR_HIT
2026-07-29,12:15,24228.25,143.45,97.85,120.65,PE,117.65,N/A,152.05,13:05,152.05,34.40,95.65,TOP dual-crossover,COMPETITOR_HIT
2026-07-29,13:05,24252.25,221.35,165.8,192.6,CE,189.6,N/A,92.5,13:10,92.5,-97.1,-1.45,BOTTOM dual-crossover,COMPETITOR_HIT
2026-07-29,13:35,24245.15,179.7,128.0,155.05,CE,152.05,N/A,117.65,13:40,117.65,-34.40,-35.85,TOP dual-crossover,COMPETITOR_HIT
