Date,Entry time,Price,Target,SL,TSL,CE/PE,Entry Premium,Comp Strike,Comp Price,Exit time,Exit price,Captured,Total,Entry reason,Exit Reason
2026-07-29,12:05,24244.7,179.7,128.0,155.05,CE,152.05,N/A,117.65,12:10,117.65,-34.40,-34.40,TOP dual-crossover,COMPETITOR_HIT
2026-07-29,10:00,24204.65,141.0,92.5,119.0,PE,116.0,N/A,165.8,12:45,165.8,49.8,15.40,BOTTOM dual-crossover,COMPETITOR_HIT
2026-07-29,13:05,24252.25,179.7,128.0,155.05,CE,152.05,N/A,117.65,13:15,156.05,4.00,19.40,TOP dual-crossover,TRAILING_STOP
2026-07-29,13:10,24257.55,221.35,165.8,192.6,CE,189.6,N/A,92.5,13:15,92.5,-97.1,-77.70,BOTTOM dual-crossover,COMPETITOR_HIT
2026-07-29,13:35,24245.15,179.7,128.0,155.05,CE,152.05,N/A,117.65,13:40,117.65,-34.40,-112.10,TOP dual-crossover,COMPETITOR_HIT
2026-07-29,14:00,24267.1,221.35,165.8,192.6,CE,189.6,N/A,92.5,14:05,191.6,2.0,-110.10,BOTTOM dual-crossover,TRAILING_STOP
2026-07-29,13:45,24246.2,143.45,97.85,120.65,PE,117.65,N/A,152.05,15:00,152.05,34.40,-75.70,TOP dual-crossover,COMPETITOR_HIT
2026-07-30,10:40,24259.15,120.1,80.0,101.3,CE,98.3,N/A,121.5,10:45,121.5,23.2,-52.50,TOP dual-crossover,COMPETITOR_HIT
2026-07-30,12:30,24306.75,145.2,98.3,123.1,CE,120.1,N/A,103.2,12:35,145.2,25.1,-27.40,TOP dual-crossover,TARGET_HIT
2026-07-30,12:30,24306.75,189.0,131.6,162.0,CE,159.0,N/A,87.0,12:35,189.0,30.0,2.60,BOTTOM dual-crossover,TARGET_HIT
2026-07-30,13:20,24279.35,121.5,74.75,106.2,PE,103.2,N/A,120.1,13:25,120.1,16.9,19.50,TOP dual-crossover,COMPETITOR_HIT
2026-07-30,13:30,24276.9,121.5,74.75,106.2,PE,103.2,N/A,120.1,13:35,120.1,16.9,36.40,TOP dual-crossover,COMPETITOR_HIT
2026-07-30,14:30,24246.6,150.0,103.2,124.5,PE,121.5,N/A,98.3,14:35,103.2,-18.3,18.10,TOP dual-crossover,STOP_LOSS
2026-07-30,14:35,24267.55,159.0,108.2,134.6,CE,131.6,N/A,87.0,14:40,87.0,-44.6,-26.50,BOTTOM dual-crossover,COMPETITOR_HIT
2026-07-30,14:45,24277.6,145.2,98.3,123.1,CE,120.1,N/A,103.2,14:50,122.1,2.0,-24.50,TOP dual-crossover,TRAILING_STOP
2026-07-31,09:30,24312.25,180.0,145.0,148.0,PE,145.0,N/A,64.75,09:35,64.75,-80.25,-104.75,TOP dual-crossover,COMPETITOR_HIT
2026-07-31,09:40,24349.3,139.95,98.7,126.0,CE,123.0,N/A,92.75,09:45,123.0,0.0,-104.75,BOTTOM dual-crossover,TRAILING_STOP
2026-07-31,09:40,24349.3,83.35,50.05,67.75,CE,64.75,N/A,145.0,10:05,66.75,2.00,-102.75,TOP dual-crossover,TRAILING_STOP
2026-07-31,10:35,24357.7,139.95,98.7,126.0,CE,123.0,N/A,71.15,10:40,71.15,-51.85,-154.60,BOTTOM dual-crossover,COMPETITOR_HIT
2026-07-31,11:00,24354.65,139.95,98.7,126.0,CE,123.0,N/A,71.15,11:05,71.15,-51.85,-206.45,BOTTOM dual-crossover,COMPETITOR_HIT
2026-07-31,11:10,24357.75,139.95,98.7,126.0,CE,123.0,N/A,71.15,11:40,125.0,2.0,-204.45,BOTTOM dual-crossover,TRAILING_STOP
